Nr.,Egz.,Autoriai (vertėjai),Pavadinimas,Tomas,Leidimas,Serija,Metai,Psl.,Leidykla,Miestas,UDK,KKIŠ,ISBN,Būklė,Kaina,Įsigyta iš,"Pastabos (žymės, defektai ir t.t.)"
1,1,"А. Г. Свешников, А. Н. Тихонов",Теория функий комплексной переменой,,4,,1967,304,Наука,Москва,517.53,2-2-3/24-67,,Puiki,,www.sena.lt,Antspaudas Vilniaus m. „Technika“ 35863477 0rb. 65
2,1,"А. Н. Тичонов, А. А. Самарский",Уравнения математической физики,,3,,1966,724,Наука,Москва,517.946 (075.8),2-2-3/27-66,,Puiki,,www.sena.lt,"Exlibris Minceris B. J., antspaudas Vilniaus m. „Technika“ 157689/76-X 1rb. 60"
3,1,П. И. Романовский,Ряди Фурье. Теория Поля. Аналитическийе и спецяльные функции. Преобразование Лапласа.,,5,Избранные  главы высшей математики для студентов инженеров и студентов втузов,1973,336,Наука,Москва,517.5,P 0223-1718/042(02)-73 27-73,,Puiki,,www.sena.lt,Antspaudas V. Nr. 3 149 343799 Kaina 0.80 rb.
4,1,А. В. Бицадзе,Уравнения математической физики,,,,1976,296,Наука,Москва,517.,Б 20203-023/053(02)-76,,Puki,,www.sena.lt,
5,1,"П. И. Чинаев, Н. А. Минин, А. Ю. Перевозников, А. А. Черенков",Высшая математика. Специалие главы. ,,2,,1981,368,Вища школа,Киев,51 (07),В 20203-035/M211(04)-81 102-81,,Puiki,,www.sena.lt,Nuplėšta 73-74psl. apačia. Įplėštas 3psl.
6,1,Е. Вигнер,Этюды о симметрии,,,,1971,318,Мир,Москва,530.1,3-2-1/60-71,,Puiki,,www.sena.lt,
7,1,Д. Пойa,Математическое открытие,,,,1976,448,Мир,Москва,510,П 20203-012/053(02)-76 80-76,,Puiki,,www.sena.lt,Antspaudas Научно-Техническая библиотека НИИ РИII
8,1,М. Л. Краснов,Интегральные уравнения,,,Избранные  главы высшей математики для студентов инженеров и студентов втузов,1975,304,Наука,Москва,517.94,К 20203-081/053(02)-75 27-74,,Puiki,,www.sena.lt,
9,1,"В. А. Диткин,  А. П. Прудников",Интегральные преобразования и операционное исчисление,,2,Справочная математическая библиотека,1974,544,Наука,Москва,517.2 (083),Д 20204-153/053(02)-74,,Puiki,,www.sena.lt,
10,1,М. Я. Выгоский,Справочник по  высшей математике,,6,,1962,872,Государственное издательство физико-математической литературы,Москва,517,,,Gera,,www.sena.lt,Suliejimo  pėdsakai paskutiniuose lapuose ir ant viršelio. Autografas užpakalinio viršelio išorėje.
11,1,М. Я. Выгоский,Справочник по  высшей математике,,10,,1973,872,Наука,Москва,510 (083),2-2-3/71-72,,Puiki,,www.sena.lt,
12,1,"Д. К. Фадеев, М. С. Никулин, И. Ф. Соколовский",Элементы высшей математики для школников,,,,1987,336,Наука,Москва,51 (075.4),Ф 1702050000-083/053(02)-87,,Puiki,,www.sena.lt,
